Eccentricity,Extent,Perimeter,Roundness,AspectRatio,Class
0.832023494,0.613884108,226.454,0.786601742,1.802645,1
0.832074376,0.560897436,292.569,0.796439869,1.802893047,1
0.832303678,0.576505602,222.373,0.836830469,1.804012341,1
0.832621093,0.601829268,290.143,0.736669733,1.805565702,1
0.833148913,0.727255639,248.428,0.787784638,1.808158955,1
0.833989075,0.782818145,236.767,0.874242929,1.812313365,1
0.834685363,0.717582418,261.064,0.842805012,1.815781338,1
0.835050434,0.635345997,239.34,0.821763909,1.817608766,1
0.836760131,0.590641026,268.84,0.801014362,1.826251811,1
0.837510773,0.849509804,228.007,0.83780329,1.830091344,1
0.838102538,0.596388889,254.699,0.831797143,1.833137796,1
0.838219144,0.584908425,243.28,0.847593431,1.833740148,1
0.839020612,0.613541376,260.512,0.815458208,1.837898676,1
0.839088221,0.755841924,257.268,0.835203461,1.838250957,1
0.839478002,0.749351131,249.61,0.815233866,1.840286422,1
0.839530377,0.61907131,234.817,0.850763371,1.840560518,1
0.839679822,0.593256705,240.094,0.843860039,1.84134338,1
0.84070239,0.622886473,253.076,0.80953786,1.846730754,1
0.841344086,0.733069232,251.165,0.774095281,1.850139146,1
0.841606851,0.577578607,242.064,0.843048377,1.851541036,1
0.841881949,0.671550672,241.481,0.829668616,1.853012623,1
0.842001029,0.666096866,274.007,0.782638217,1.853650857,1
0.842021957,0.55762963,245.108,0.787307713,1.8537631,1
0.84206865,0.677377655,239.356,0.804545396,1.854013623,1
0.842293366,0.774684874,266.82,0.781063565,1.855220886,1
0.843008304,0.58785733,269.116,0.777856643,1.859079722,1
0.843881227,0.820332356,249.882,0.844452833,1.863828568,1
0.846045387,0.600108888,263.424,0.798434479,1.875782413,1
0.846387239,0.646323024,265.151,0.840438522,1.877694599,1
0.846450727,0.625223614,268.932,0.850158921,1.878050455,1
0.846912546,0.589467642,256.915,0.782098362,1.880645909,1
0.84734752,0.711581709,237.412,0.846535408,1.883101662,1
0.847566309,0.753703704,230.804,0.864092271,1.884341011,1
0.847935673,0.645054338,240.546,0.760553426,1.886439592,1
0.848183557,0.774439103,247.889,0.790600715,1.88785243,1
0.848331996,0.642242704,251.05,0.833622792,1.88870019,1
0.848355093,0.568597561,236.813,0.835810103,1.888832212,1
0.849725489,0.575181159,243.983,0.804295624,1.896722072,1
0.849977534,0.789177194,264.644,0.829487132,1.898185373,1
0.850535305,0.775312067,274.486,0.74588395,1.901437269,1
0.851320389,0.563784247,253.792,0.770834311,1.906046537,1
0.851417512,0.658262108,277.531,0.753915777,1.90661938,1
0.851451051,0.824404762,265.248,0.841074214,1.906817334,1
0.851614663,0.565625386,266.221,0.812242173,1.907783994,1
0.852121255,0.66509434,234.302,0.742343348,1.910787598,1
0.852194755,0.53796765,260.732,0.805394671,1.911224709,1
0.852463494,0.553790176,272.888,0.770507543,1.91282581,1
0.85315581,0.81308625,235.807,0.803181878,1.916971463,1
0.853340239,0.566147155,271.738,0.797464573,1.918080969,1
0.853508093,0.611076923,253.449,0.777030274,1.91909264,1
0.853814335,0.829514964,252.331,0.793207209,1.920943046,1
0.854631832,0.66694725,271.228,0.812082213,1.92591221,1
0.855089993,0.745631068,264.951,0.824880825,1.928716161,1
0.855432012,0.824404762,244.49,0.815258748,1.930818309,1
0.855470952,0.594331984,268.492,0.767705186,1.931058138,1
0.856221212,0.699147617,235.956,0.814581787,1.935698552,1
0.85668828,0.671298371,265.167,0.802984814,1.938606424,1
0.856735754,0.589449541,272.761,0.781359586,1.93890281,1
0.857934894,0.577279958,257.1,0.827930478,1.946440108,1
0.858005337,0.563398693,236.521,0.774529044,1.94688595,1
0.858547702,0.590361446,263.639,0.806172585,1.950330173,1
0.858961293,0.838439543,254.662,0.795416754,1.952970432,1
0.859783443,0.791435369,257.06,0.759156632,1.958254629,1
0.859805283,0.552129817,253.493,0.798467606,1.958395654,1
0.860485135,0.724227175,284.386,0.782646035,1.962802744,1
0.861307617,0.715789474,237.568,0.787310851,1.96817911,1
0.86199911,0.556221556,283.977,0.780850572,1.972737596,1
0.862052047,0.723544974,254.977,0.740104792,1.973088027,1
0.862380367,0.575399948,263.299,0.795386222,1.975266097,1
0.862592766,0.568446602,274.318,0.78220059,1.976679441,1
0.86263072,0.795103093,256.647,0.823987615,1.976932348,1
0.862894078,0.752341311,301.985,0.797016671,1.978690245,1
0.862924147,0.742754275,255.796,0.792412996,1.978891282,1
0.862933391,0.542742971,246.555,0.786155688,1.978953101,1
0.863666257,0.606919677,243.849,0.841529145,1.983874746,1
0.863678918,0.808214155,264.28,0.793090693,1.983960139,1
0.863723389,0.713993871,240.603,0.758673593,1.984260147,1
0.864028969,0.623715753,256.509,0.834805795,1.986325767,1
0.86405457,0.553591009,251.807,0.800475639,1.986499144,1
0.864074307,0.606921029,295.612,0.786886027,1.986632846,1
0.865355119,0.80762987,225.237,0.739391972,1.995374027,1
0.865397365,0.606794872,266.682,0.836293963,1.995664532,1
0.865503093,0.64379587,250.098,0.757811359,1.996392202,1
0.865693836,0.596448355,238.547,0.80846584,1.997707221,1
0.865748729,0.788298566,275.362,0.801637337,1.9980862,1
0.866080346,0.543896104,223.117,0.792889153,2.000380768,1
0.86619073,0.547805643,256.711,0.799740948,2.001146508,1
0.866243946,0.714115646,254.771,0.812934875,2.001516019,1
0.866494578,0.603661327,253.068,0.776428464,2.003259365,1
0.866750215,0.709879176,285.254,0.771249536,2.005042746,1
0.866962983,0.662794613,256.524,0.751829344,2.006531105,1
0.867157094,0.562698834,260.959,0.783326826,2.007892171,1
0.867244265,0.570670996,286.773,0.805732935,2.008504397,1
0.867607294,0.554945892,241.542,0.784233206,2.011060749,1
0.867624752,0.79430593,269.449,0.816090663,2.011183955,1
0.867839657,0.599265606,289.962,0.731760731,2.01270268,1
0.867850021,0.535051156,260.888,0.782091577,2.012776022,1
0.867999767,0.664468865,274.329,0.757257729,2.013836657,1
0.868121957,0.680339076,277.133,0.814167476,2.014703498,1
0.868134,0.677006716,259.741,0.788641635,2.014789001,1
0.868438765,0.850693069,259.409,0.80223953,2.016956794,1
0.868702764,0.576942169,273.621,0.780316084,2.018840896,1
0.869042704,0.643851902,243.201,0.805439521,2.021275625,1
0.869334971,0.592561588,290.011,0.740328692,2.023376728,1
0.869967831,0.592223803,289.043,0.751462618,2.027951335,1
0.870125573,0.623762376,286.844,0.788992229,2.029096926,1
0.870212519,0.870238519,274.262,0.81676783,2.029729291,1
0.870305271,0.643970588,263.678,0.791474665,2.030404595,1
0.870549219,0.662233766,314.656,0.809002546,2.032184299,1
0.87074793,0.852725367,275.478,0.808248354,2.033637817,1
0.871551294,0.68945869,274.396,0.807792234,2.039549572,1
0.871853802,0.542670683,261.978,0.791709588,2.041790482,1
0.872306528,0.6271809,252.837,0.805564948,2.045159464,1
0.872661936,0.597554348,261.29,0.809504955,2.047817202,1
0.872735442,0.563770325,261.474,0.815718178,2.048368308,1
0.872951636,0.557381258,266.484,0.768347011,2.049992068,1
0.873000757,0.617575758,255.914,0.782088589,2.050361589,1
0.873296434,0.797092014,241.24,0.793107675,2.05259056,1
0.873773432,0.592773893,299.803,0.711073136,2.056203409,1
0.873910711,0.633222775,269.51,0.79271154,2.057247083,1
0.874188772,0.741655541,265.364,0.793048786,2.059366454,1
0.874600106,0.577291906,266.923,0.79633467,2.062514909,1
0.874670474,0.409927152,488.837,0.174590178,2.063055118,1
0.874681096,0.820661512,240.926,0.82721721,2.063136708,1
0.874726022,0.784190476,262.743,0.749425424,2.063481892,1
0.874833328,0.756957328,250.412,0.817635526,2.064307142,1
0.875104544,0.600134409,287.087,0.816931269,2.066397837,1
0.875258481,0.691491023,276.786,0.726486094,2.067587589,1
0.875294022,0.803002502,275.818,0.795189689,2.0678626,1
0.875405122,0.545747346,270.638,0.784916415,2.068723061,1
0.875442302,0.735849057,257.666,0.7898489,2.069011284,1
0.875478285,0.589303119,282.031,0.764173999,2.069290354,1
0.875690057,0.726436782,283.873,0.788440191,2.070935285,1
0.875715319,0.579075131,279.955,0.764967217,2.071131797,1
0.875725418,0.6875,265.778,0.739701145,2.071210372,1
0.875760566,0.782040816,247.69,0.78490739,2.071483926,1
0.876009151,0.594437313,338.782,0.760508352,2.073422024,1
0.876207201,0.587542088,261.405,0.770173828,2.074970421,1
0.876219713,0.655116655,296.222,0.812290673,2.075068371,1
0.876651614,0.661148198,279.019,0.799324168,2.078458874,1
0.876652071,0.636020531,264.24,0.758235653,2.078462475,1
0.876677165,0.614716312,240.017,0.756274922,2.078660032,1
0.87689078,0.614747571,245.889,0.802267072,2.080344263,1
0.877141276,0.54241453,288.61,0.765939166,2.08232503,1
0.877670279,0.72,242.167,0.802261185,2.086528594,1
0.877788945,0.736859838,268.59,0.761919282,2.087475392,1
0.878216546,0.546216475,278.618,0.738493716,2.090898855,1
0.878572174,0.546601699,261.724,0.802603082,2.093760238,1
0.87898496,0.598940914,259.272,0.803461442,2.097097749,1
0.879242202,0.592387288,226.049,0.788439188,2.099186519,1
0.879323385,0.594078947,271.783,0.768109333,2.099847143,1
0.879375842,0.514692918,240.295,0.762360758,2.100274369,1
0.879423933,0.565079737,276.798,0.790389013,2.100666294,1
0.879617592,0.83030303,287.436,0.791829553,2.102246978,1
0.879943617,0.614003857,263,0.751958363,2.104916927,1
0.879944748,0.616446579,261.701,0.753753835,2.104926204,1
0.879947057,0.536582179,256.199,0.786284485,2.104945153,1
0.880039868,0.623491379,307.304,0.769931108,2.105707298,1
0.880056444,0.588045977,288.913,0.77020482,2.105843517,1
0.880210999,0.577875137,292.865,0.773000377,2.107114975,1
0.880286885,0.768332135,263.752,0.772243853,2.107740189,1
0.880484211,0.635430917,239.364,0.815019317,2.109368773,1
0.880622003,0.753516022,289.902,0.777070027,2.110508466,1
0.881030704,0.548426479,262.446,0.737621708,2.113900842,1
0.881054947,0.772708333,240.529,0.805622906,2.11410263,1
0.881591069,0.792016807,289.009,0.794065843,2.118581367,1
0.881943587,0.581869835,264.923,0.806792259,2.121543339,1
0.882012553,0.813333333,255.109,0.800934592,2.122124407,1
0.882050377,0.610351967,309.264,0.774655487,2.122443312,1
0.882186875,0.668947955,255.102,0.811599045,2.123595479,1
0.882333753,0.6109375,259.808,0.72791653,2.124837558,1
0.882545011,0.628942245,289.067,0.72877966,2.126628263,1
0.882769548,0.537609899,233.736,0.759513885,2.128536971,1
0.883116313,0.709569378,269.177,0.77160738,2.131495771,1
0.883215923,0.570247934,260.209,0.806779542,2.132348203,1
0.883364255,0.738039084,267.193,0.771139527,2.133619661,1
0.883367603,0.626502404,260.354,0.77306749,2.133648387,1
0.883735602,0.661374511,308.106,0.805111386,2.136813669,1
0.884513032,0.609204546,293.758,0.780685775,2.143551574,1
0.885168084,0.772633745,263.959,0.812695963,2.149283251,1
0.885541309,0.5659219,303.047,0.769410253,2.1525715,1
0.885642633,0.739555256,276.911,0.719438986,2.153467052,1
0.886019582,0.609255533,283.196,0.711676727,2.156809452,1
0.886625358,0.639972777,301.902,0.777877063,2.162216624,1
0.886726332,0.576853526,264.342,0.803149216,2.163122241,1
0.887144874,0.833097345,281.35,0.747240192,2.166889345,1
0.887375502,0.877896613,280.448,0.78688525,2.168974314,1
0.887407612,0.695652174,207.697,0.773708713,2.169265121,1
0.888225108,0.843168109,230.728,0.758909935,2.176712075,1
0.888308327,0.561471862,295.728,0.74546102,2.177474846,1
0.888636372,0.628263669,299.083,0.753836351,2.180490204,1
0.888663325,0.654803647,242.407,0.798748686,2.18073856,1
0.888769328,0.789453125,313.372,0.77584873,2.181716211,1
0.888852444,0.674975198,291.54,0.804733164,2.182483784,1
0.889141328,0.693733154,255.689,0.791538634,2.185158479,1
0.889639703,0.578498698,281.305,0.775904773,2.189798059,1
0.889708521,0.534827441,286.377,0.778849783,2.190441243,1
0.889726353,0.601193706,270.823,0.759343932,2.190608013,1
0.889739752,0.528421053,285.799,0.772310913,2.190733345,1
0.889995749,0.58469787,258.503,0.758791099,2.193132409,1
0.913781847,0.542652553,385.658,0.73633012,2.461809401,0
0.913797261,0.662993299,387.111,0.7466619,2.462019579,0
0.913853932,0.747982392,326.076,0.722954017,2.462792808,0
0.913861881,0.772222222,341.674,0.733156822,2.46290132,0
0.913889366,0.79112426,405.824,0.714107932,2.463276658,0
0.913892298,0.684949656,372.416,0.702643453,2.463316713,0
0.913893355,0.633702532,385.349,0.745635527,2.463331152,0
0.913940124,0.575263121,375.155,0.727153587,2.463970302,0
0.913953296,0.70984556,355.278,0.732144592,2.4641504,0
0.913982374,0.52173913,383.884,0.693778411,2.464548141,0
0.914019327,0.794047619,375.92,0.711747712,2.46505391,0
0.914077041,0.529115785,399.108,0.738343481,2.465844476,0
0.914328265,0.741176471,364.573,0.750502174,2.469295197,0
0.914362359,0.713847979,355.99,0.716129808,2.469764697,0
0.914416622,0.641851852,343.395,0.738721065,2.470512517,0
0.914425822,0.534199726,345.648,0.739324862,2.470639387,0
0.914512641,0.60298103,414.486,0.716098598,2.471837582,0
0.914547915,0.569152841,363.923,0.735632046,2.472324936,0
0.914585158,0.69139912,327.814,0.752962409,2.472839812,0
0.914586041,0.72130102,345.296,0.715221604,2.472852028,0
0.914645467,0.547943087,344.433,0.750587804,2.473674321,0
0.914645539,0.551266482,337.698,0.700274709,2.473675321,0
0.91468842,0.651162791,399.904,0.73045671,2.474269219,0
0.914742857,0.696161207,326.614,0.728466781,2.475023817,0
0.914753252,0.515636364,387.812,0.710877648,2.475168007,0
0.914761678,0.802025687,365.003,0.724493947,2.47528489,0
0.914858195,0.742533124,339.432,0.721278224,2.476625064,0
0.914865621,0.565934066,331.107,0.755597197,2.476728276,0
0.91489889,0.575377747,334.961,0.750629794,2.477190824,0
0.914902811,0.60294911,424.13,0.468463143,2.477245359,0
0.91492267,0.792307692,376.07,0.732149374,2.477521627,0
0.914939276,0.607649254,332.388,0.740912541,2.477752701,0
0.914941004,0.72670338,343.303,0.717579017,2.477776759,0
0.914946748,0.627954324,346.24,0.743612309,2.477856699,0
0.914977181,0.795812808,330.02,0.745583516,2.478280434,0
0.915039381,0.644775343,411.598,0.735529119,2.47914719,0
0.915051247,0.623011364,392.519,0.715462902,2.47931265,0
0.915063648,0.574109907,387.029,0.746726647,2.479485607,0
0.915144579,0.513895782,387.19,0.694387173,2.480615313,0
0.915145996,0.576985923,396.88,0.732455802,2.480635115,0
0.915148523,0.5263066,399.777,0.711028135,2.480670418,0
0.915238385,0.607998226,376.319,0.729849775,2.481926809,0
0.915413346,0.631282821,419.695,0.720406528,2.484378847,0
0.915417784,0.692217534,390.443,0.730262978,2.484441146,0
0.91542312,0.635385163,356.552,0.706065125,2.484516051,0
0.915484483,0.750417641,393.039,0.730816451,2.485378031,0
0.915487734,0.579342105,384.557,0.748285109,2.485423725,0
0.915498515,0.648674242,329.55,0.713346136,2.485575265,0
0.915612828,0.664318658,383.753,0.675991344,2.487184005,0
0.915633789,0.78645384,354.748,0.728142889,2.48747934,0
0.915653772,0.575253463,377.601,0.71009582,2.487761016,0
0.915656618,0.55363292,333.373,0.727155891,2.487801134,0
0.915709348,0.52709968,354.953,0.723611697,2.488544921,0
0.915914062,0.792479967,370.702,0.705406797,2.491439242,0
0.916111518,0.607173725,384.134,0.717913205,2.494241163,0
0.916220264,0.618524333,354.245,0.710184407,2.495788576,0
0.916252682,0.535466667,410.132,0.750060448,2.496250455,0
0.916299633,0.758365147,337.158,0.746627501,2.496919903,0
0.916524561,0.688033537,395.504,0.725189565,2.500134937,0
0.916578021,0.556640265,320.216,0.740710094,2.500901021,0
0.91660463,0.80141844,325.332,0.737899865,2.501282614,0
0.916686093,0.637175164,336.96,0.71098215,2.50245199,0
0.916712545,0.670931059,345.552,0.695429447,2.502832078,0
0.916777157,0.697311828,369.114,0.717761327,2.503761242,0
0.916786032,0.58609319,381.704,0.705175678,2.50388896,0
0.916834106,0.599637681,344.132,0.73757644,2.504581133,0
0.916916442,0.5891494,329.717,0.749381912,2.505768033,0
0.916919504,0.615163572,383.663,0.712761919,2.505812213,0
0.916929618,0.77179987,324.579,0.7084062,2.505958136,0
0.917013309,0.541133005,386.461,0.739415526,2.50716671,0
0.917022745,0.744890549,354.525,0.717861359,2.507303093,0
0.917031915,0.644938441,406.975,0.71538534,2.507435646,0
0.917049369,0.521458466,370.153,0.674207749,2.507688014,0
0.917086638,0.584140351,381.107,0.720191654,2.508227168,0
0.917087086,0.539962121,312.947,0.731636716,2.508233652,0
0.917151925,0.651091454,396.944,0.727912925,2.509172525,0
0.917247339,0.676105081,387.234,0.720376117,2.510556178,0
0.91728777,0.531023684,374.645,0.728687015,2.511143224,0
0.917376084,0.528980716,405.822,0.732580172,2.512427041,0
0.917378696,0.581870151,312.2,0.734884221,2.512465046,0
0.917455259,0.61649061,459.759,0.374711216,2.513579788,0
0.917455594,0.535503385,362.229,0.712168583,2.513584677,0
0.917466549,0.732051282,361.935,0.71207897,2.513744299,0
0.917500112,0.589646465,338.284,0.717946142,2.514233572,0
0.917593712,0.80745614,356.22,0.729267812,2.515599649,0
0.917603462,0.778238437,384.116,0.719428375,2.51574208,0
0.917619246,0.712639582,324.414,0.716291092,2.515972722,0
0.917691624,0.541689789,365.786,0.733417263,2.517031197,0
0.917729819,0.543859649,331.912,0.749655118,2.517590339,0
0.91773119,0.510594712,384.715,0.67719972,2.51761042,0
0.918015974,0.740184428,368.981,0.718648058,2.521792038,0
0.918165647,0.532711988,388.636,0.727584809,2.523998656,0
0.918167658,0.516731644,335.296,0.711126371,2.524028344,0
0.918292861,0.650522317,376.268,0.729603841,2.525879008,0
0.918326195,0.557171183,348.781,0.696661465,2.526372458,0
0.918332198,0.635869037,339.482,0.713651217,2.526461345,0
0.918485533,0.55371172,341.984,0.742143255,2.528735403,0
0.918488205,0.605921053,336.878,0.7138751,2.528775082,0
0.918532187,0.557096513,351.996,0.696671307,2.52942861,0
0.918537138,0.720703539,344.138,0.721740757,2.529502211,0
0.91857432,0.580583809,350.747,0.717168006,2.530055157,0
0.918604124,0.52991453,352.678,0.701556799,2.530498667,0
0.918745359,0.795677306,411.878,0.703565992,2.53260372,0
0.918803109,0.669084072,365.178,0.704199374,2.533466067,0
0.918820549,0.816129032,365.929,0.736034924,2.533726686,0
0.918842934,0.546088412,373.185,0.706698524,2.534061309,0
0.918905644,0.682624565,368.725,0.743307927,2.534999482,0
0.918950737,0.52187607,366.317,0.71378047,2.53567479,0
0.919073411,0.627972028,351.599,0.730265738,2.53751483,0
0.919076291,0.546919657,344.696,0.728607373,2.537558072,0
0.919095023,0.535515873,376.338,0.71841908,2.537839432,0
0.919097154,0.700575994,367.129,0.703074622,2.53787145,0
0.9192286,0.535611083,332.334,0.717032289,2.539848678,0
0.919250567,0.516598099,358.285,0.712956317,2.540179581,0
0.919258087,0.740862273,373.315,0.732896551,2.540292886,0
0.919347414,0.574782433,320.205,0.696148644,2.541640116,0
0.91936718,0.542532422,370.051,0.714039299,2.541938522,0
0.919412678,0.600693518,397.01,0.718183378,2.542625855,0
0.919829309,0.82705174,360.421,0.717493496,2.548947417,0
0.919858294,0.528461539,336.268,0.687128606,2.549389087,0
0.919871242,0.530321135,356.48,0.702197111,2.549586448,0
0.919909728,0.73248721,361.497,0.715921114,2.550173394,0
0.920041985,0.505049912,389.978,0.710687368,2.552193721,0
0.920113318,0.537170596,370.465,0.709239621,2.553285497,0
0.920214139,0.50181959,342.498,0.69428184,2.554831143,0
0.920307977,0.600327967,382.91,0.690284422,2.5562724,0
0.920365506,0.764185855,359.206,0.724011153,2.557157277,0
0.92068999,0.781031253,373.315,0.714321663,2.562166573,0
0.920762568,0.526656594,356.987,0.721798778,2.563291295,0
0.920784295,0.514381271,350.67,0.707263892,2.563628299,0
0.920816813,0.575697045,343.661,0.735981912,2.564132941,0
0.921025714,0.662020906,391.195,0.717686383,2.567382384,0
0.921112243,0.70048071,315.756,0.716282427,2.568732173,0
0.921197327,0.653688081,328.077,0.705639282,2.570061626,0
0.921645595,0.550029343,362.263,0.717971725,2.577102208,0
0.921757748,0.517622524,363.659,0.707528952,2.578873318,0
0.922086894,0.543153796,347.846,0.695426573,2.584093551,0
0.922251159,0.651637144,386.026,0.716627513,2.586711368,0
0.922612777,0.634365634,336.307,0.705523973,2.592504132,0
0.92273664,0.529320988,382.855,0.705743,2.594497787,0
0.92273964,0.637176745,337.267,0.724050073,2.59454612,0
0.922779054,0.513846415,328.91,0.702650392,2.595181575,0
0.922960203,0.528765002,352.784,0.689523729,2.598108511,0
0.923044279,0.675309432,334.975,0.708794221,2.599470547,0
0.923504558,0.777122153,375.259,0.669906275,2.606967455,0
0.923760733,0.524669846,318.52,0.708611829,2.611169805,0
0.923828961,0.80047123,343.939,0.685714388,2.612292658,0
0.923834473,0.558147397,345.117,0.696761625,2.612383442,0
0.924087191,0.642681643,369.892,0.672679701,2.616556373,0
0.924199892,0.843676471,318.632,0.71009415,2.618424137,0
0.924353013,0.525835866,323.004,0.708466115,2.620968548,0
0.92436826,0.603914175,348.837,0.694682256,2.62122234,0
0.924446362,0.521977124,341.065,0.690189651,2.622523588,0
0.924631908,0.823191346,354.276,0.73138596,2.625623185,0
0.924767909,0.609271523,357.883,0.686007945,2.627902505,0
0.924825993,0.533165345,356.987,0.709374373,2.628877874,0
0.924988727,0.52148029,335.361,0.724258797,2.631616713,0
0.925315984,0.794117647,358.859,0.711360436,2.63715198,0
0.925429096,0.515645161,337.592,0.70501475,2.63907377,0
0.926019043,0.530553969,368.969,0.686018467,2.649169456,0
0.926085024,0.686688312,390.146,0.628591377,2.650306208,0
0.926148937,0.517663376,336.998,0.702080391,2.651408788,0
0.926150157,0.667978459,338.018,0.70939794,2.65142985,0
0.926165046,0.562938354,323.564,0.732182438,2.651686925,0
0.926456584,0.587032325,327.062,0.731758909,2.656736531,0
0.926779314,0.794348894,336.703,0.716723414,2.662362052,0
0.927058077,0.70703125,355.948,0.682179904,2.66725165,0
0.927565731,0.614837218,353.707,0.694266618,2.676229542,0
0.927577271,0.54797565,320.322,0.694537943,2.676434742,0
0.927672554,0.586470267,340.517,0.699023831,2.678130911,0
0.927702372,0.503758221,342.547,0.689049757,2.678662419,0
0.927707437,0.529234168,358.995,0.700778403,2.678752734,0
0.927856134,0.748029557,331.038,0.696512561,2.681408511,0
0.927961512,0.67352657,358.041,0.68334406,2.683295641,0
0.928072514,0.497115264,377.829,0.697795468,2.685288031,0
0.928400182,0.508478391,353.002,0.683428393,2.691196813,0
0.92921752,0.515070491,336.402,0.705902853,2.706116651,0
0.92939594,0.742507577,350.067,0.678324287,2.709408453,0
0.929565633,0.548639349,352.716,0.708678281,2.712551003,0
0.929773954,0.80565049,360.19,0.684997227,2.716424711,0
0.929866765,0.592644582,335.001,0.709132101,2.718156147,0
0.930565003,0.571809219,339.988,0.699896238,2.731294789,0
0.930590629,0.675904762,352.896,0.716128896,2.731780798,0
0.930634299,0.490985485,357.034,0.633576431,2.732609668,0
0.93075969,0.543157895,368.091,0.693932408,2.734994052,0
0.930863607,0.535688666,336.565,0.662730839,2.736975082,0
0.931507799,0.51880597,352.403,0.703461662,2.749357442,0
0.931716524,0.594351733,370.033,0.679876335,2.753407509,0
0.932606112,0.629923318,362.126,0.692737461,2.770882244,0
0.934460039,0.782782904,343.764,0.685562014,2.808452158,0
0.934896979,0.474504692,414.047,0.667113446,2.817542704,0
0.934904775,0.482405996,371.322,0.692207468,2.817705742,0
0.935571956,0.550187617,326.864,0.689832575,2.831769274,0
0.935754055,0.659781678,339.234,0.673200141,2.835646253,0
0.938336936,0.475785124,326.511,0.678594694,2.892496316,0
0.9392099,0.498594429,332.96,0.663443987,2.912535063,0
0.939398001,0.647460521,385.506,0.641361912,2.91691016,0
0.939760316,0.561287478,342.253,0.68283181,2.925395728,0
0.940427094,0.492399207,343.371,0.635226924,2.941216145,0
0.941500022,0.489975238,338.613,0.672274101,2.967245279,0
